127.0.0.1 - - [18/Mar/2020:19:01:14 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Mar/2020:19:01:15 +0530] "GET /MajorProject/index.html HTTP/1.1" 200 5044
0:0:0:0:0:0:0:1 - - [18/Mar/2020:19:01:15 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Mar/2020:19:01:38 +0530] "GET /MajorProject/index.html HTTP/1.1" 200 5038
0:0:0:0:0:0:0:1 - - [18/Mar/2020:19:03:26 +0530] "GET /MajorProject/index.html HTTP/1.1" 200 5020
0:0:0:0:0:0:0:1 - - [18/Mar/2020:19:03:33 +0530] "GET /MajorProject/admin.jsp HTTP/1.1" 200 4225
0:0:0:0:0:0:0:1 - - [18/Mar/2020:19:04:09 +0530] "GET /MajorProject/owner.jsp HTTP/1.1" 200 4901
0:0:0:0:0:0:0:1 - - [18/Mar/2020:19:04:22 +0530] "GET /MajorProject/user.jsp HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [18/Mar/2020:19:04:22 +0530] "GET /MajorProject/user.jsp HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [18/Mar/2020:19:04:46 +0530] "GET /MajorProject/admin.jsp HTTP/1.1" 200 4207
0:0:0:0:0:0:0:1 - - [18/Mar/2020:19:06:47 +0530] "GET /MajorProject/owner.jsp HTTP/1.1" 200 4901
0:0:0:0:0:0:0:1 - - [18/Mar/2020:19:06:49 +0530] "GET /MajorProject/user.jsp HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [18/Mar/2020:19:06:53 +0530] "GET /MajorProject/admin.jsp HTTP/1.1" 200 4207
0:0:0:0:0:0:0:1 - - [18/Mar/2020:19:06:54 +0530] "POST /MajorProject/Admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2020:19:06:55 +0530] "GET /MajorProject/ahome.jsp HTTP/1.1" 200 3917
